Program,Companies,Status,Recipient Type,Start Date,End Date,Tech Category,Tagline,Outcome,Comments
MOSAIC,George Washington University (GWU),ACTIVE,,12/15/17,12/14/19,Distributed Generation,Micro-Scale Ultra-High Efficiency CPV/Diffuse Hybrid Arrays Using Transfer Printing,,
MOSAIC,Glint Photonics,ACTIVE,,1/1/16,6/30/19,Distributed Generation,Stationary Wide-Angle Concentrator PV System,,
MOSAIC,Massachusetts Institute of Technology (MIT),ACTIVE,,12/15/15,4/30/19,Distributed Generation,Integrated Micro-Optical Concentrator Photovoltaics,,
MOSAIC,Massachusetts Institute of Technology (MIT),ACTIVE,,1/1/16,4/4/19,Distributed Generation,Wafer-Level Integrated Concentrating Photovoltaics,,
MOSAIC,Palo Alto Research Center (PARC),ACTIVE,For-profit,12/29/15,3/31/19,Distributed Generation,Micro-Chiplet Printer for MOSAIC,,
MOSAIC,Panasonic Boston Laboratory,ACTIVE,,1/15/16,4/14/19,Distributed Generation,Low Profile CPV Panel with Sun Tracking for Rooftop Installation,,
MOSAIC,Pennsylvania State University (Penn State),ACTIVE,,2/10/16,8/9/19,Distributed Generation,Wide-Angle Planar Microtracking Microcell Concentrating Photovoltaics,,
MOSAIC,University of Arizona,ACTIVE,,4/1/17,9/30/19,Distributed Generation,A High Efficiency Flat Plate PV with Integrated Micro-CPV Atop a 1-Sun Panel,,
MOSAIC,University of Rochester,ACTIVE,,1/1/16,9/30/19,Distributed Generation,Planar Light Guide Concentrated Photovoltaics,,
MOSAIC,Texas Engineering Experiment Station (TEES),ALUMNI,Non-profit,2/1/16,12/31/18,Distributed Generation,Waveguiding Solar Concentrator,Pivot,"Seems like they're using it for research funding, not much info on actual commercialization"
MOVE,Blackpak,ALUMNI,For-profit,10/1/12,9/30/16,Transportation Fuels,Sorbent-Based Natural Gas Tank,Perish,
MOVE,Eaton Corporation,ALUMNI,For-profit,1/1/13,12/31/15,Transportation Fuels,Liquid-Piston Isothermal Home Natural Gas Compressor,Perish,"No related products, lots of articles about development, nothing about launch"
MOVE,Gas Technology Institute (GTI),ALUMNI,Non-profit,1/1/13,12/31/14,Transportation Fuels,Adsorbent Materials for Natural Gas Storage,Pivot,"Not sure what's happening with this, have a patent"
MOVE,Gas Technology Institute (GTI),ALUMNI,Non-profit,10/1/12,3/31/14,Transportation Fuels,Low-Pressure Conformable Natural Gas Vehicle Tank,Pivot,Partners working on hydrogen now
MOVE,OnBoard Dynamics,ALUMNI,For-profit,10/1/12,1/14/18,Transportation Fuels,On-Vehicle Engine-Compressor System,Pivot,
MOVE,Otherlab,ALUMNI,For-profit,9/3/12,3/31/16,Transportation Fuels,Intestinal Natural Gas Storage,Pivot,Linamar licenscing it from spinn off
MOVE,Pacific Northwest National Laboratory (PNNL),ALUMNI,Non-profit,10/1/12,9/30/14,Transportation Fuels,Ultra-Light Conformable Natural Gas Tank,Perish,"seem to be focused on hydrogen, not natural gas"
MOVE,REL,ALUMNI,For-profit,9/1/12,9/30/16,Transportation Fuels,Conformable Core Gas Tank,Persist,"Not sure about cost, but they put this in a car and it worked"
MOVE,Texas A&M University,ALUMNI,Non-profit,9/17/12,12/31/14,Transportation Fuels,Highly Adsorbent Materials for Natural Gas Storage,Pivot,"this guy does MOFs, for a bunch of applications"
MOVE,United Technologies Research Center (UTRC),ALUMNI,For-profit,10/1/12,3/31/16,Transportation Fuels,Modular Natural Gas Tank,Persist,
MOVE,University of Texas at Austin (UT Austin),ALUMNI,Non-profit,10/1/12,12/31/15,Transportation Fuels,Single-Piston Natural Gas Compressor,Perish,"built a prototype, couldn't find any publications, no patents, no specific partners"
MOVE,Ford Motor Company,CANCELLED,For-profit,9/17/12,3/31/15,Transportation Fuels,Low Pressure Material-Based Natural Gas Fuel System,Perish,
MOVE,GE Global Research,CANCELLED,For-profit,1/1/13,4/20/14,Transportation Fuels,Chilled Natural Gas for At-Home Refueling,Perish,the CNG in a box system never got downsized
